symbol,direction,entry_time,exit_time,entry_price,shares,entry_value,gross_pnl,cost,net_pnl,gross_bps,cost_bps,net_bps,r_multiple,win,exit_reasons,duration_mins,atr_at_entry,candle_size,pullback_depth_pct,pullback_type
EICHERMOT,SHORT,2024-12-31 09:45:00+05:30,2024-12-31 15:15:00+05:30,4849.424075000001,7,33945.968525000004,167.7378500000077,69.813656375036,97.9241936249717,49.41318727626661,20.566111208057215,28.847076068209397,0.504747038081978,1,EOD_Squareoff,330.0,20.492857142856987,15.0,0.0027483187914749234,directional_close
NTPC,SHORT,2024-12-31 09:45:00+05:30,2024-12-31 10:50:00+05:30,328.88547500000004,99,32559.662025000005,-243.58675982141983,67.33491407880541,-310.92167390022524,-74.81243497994197,20.680470831393833,-95.49290581133579,-1.3685334466802375,0,Stop_Loss,65.0,2.357142857142853,0.9499999999999886,0.0008275252797823416,directional_close
ADANIPORTS,SHORT,2024-12-31 09:45:00+05:30,2024-12-31 12:35:00+05:30,1214.942225,37,44952.862325,-386.5371169642883,93.01088004893198,-479.5479970132203,-85.98720903903828,20.690758104897156,-106.67796714393543,-1.3178785563046116,0,Stop_Loss,170.0,6.750000000000049,5.850000000000136,0.0016054694555195288,directional_close
POWERGRID,SHORT,2024-12-31 09:45:00+05:30,2024-12-31 14:55:00+05:30,306.8465,79,24240.873499999998,-185.29598124999973,50.134898597679125,-235.43087984767885,-76.43948195596158,20.68196865829902,-97.12145061426061,-1.3601723959793837,0,Stop_Loss,310.0,1.4642857142857102,1.3000000000000114,0.0023865848047650135,directional_close
TATACONSUM,SHORT,2024-12-31 09:50:00+05:30,2024-12-31 10:15:00+05:30,900.5495000000001,83,74745.6085,-369.8769017857081,148.55233245287377,-518.4292342385819,-49.48476695934693,19.874389336582066,-69.359156295929,-1.559946035852978,0,Stop_Loss,25.0,4.617857142857149,1.25,0.000976733963224323,directional_close
RELIANCE,SHORT,2024-12-31 09:50:00+05:30,2024-12-31 10:50:00+05:30,1208.69535,29,35052.16515,-212.93894732143258,72.44414805669916,-285.38309537813177,-60.749156695512305,20.66752445867075,-81.41668115418307,-1.4611411960840883,0,Stop_Loss,60.0,3.1142857142857565,4.600000000000136,0.0025079061718145806,directional_close
JSWSTEEL,SHORT,2024-12-31 09:50:00+05:30,2024-12-31 14:00:00+05:30,897.7509000000001,41,36807.78690000001,-314.81333839284844,76.1565489098617,-390.96988730271016,-85.52900484023624,20.690336291275827,-106.21934113151207,-1.3196791766260287,0,Stop_Loss,250.0,3.6750000000000034,5.0,0.002880570055861135,directional_close
AXISBANK,SHORT,2024-12-31 09:50:00+05:30,2024-12-31 13:40:00+05:30,1063.6679000000001,54,57438.066600000006,-253.79705892855873,118.62268584976447,-372.4197447783232,-44.186212028341274,20.65227694306905,-64.83848897141033,-1.6554523863898434,0,Stop_Loss,230.0,3.3964285714285842,1.7999999999999545,0.00013939886834441254,directional_close
BAJFINANCE,SHORT,2024-12-31 09:55:00+05:30,2024-12-31 15:15:00+05:30,681.6490050000001,51,34764.09925500001,-53.15066999999124,71.70330026422441,-124.85397026421565,-15.288953586895179,20.625674704893026,-35.914628291788205,-0.5775911176029054,0,EOD_Squareoff,320.0,1.8614285714285839,2.909999999999968,0.0001342274760926179,directional_close
SUNPHARMA,LONG,2024-12-31 09:55:00+05:30,2024-12-31 15:15:00+05:30,1890.694875,18,34032.50775,-82.59119999999757,70.052241803094,-152.64344180309158,-24.26832621524859,20.583920032485416,-44.852246247734,-0.6047922128541463,0,EOD_Squareoff,320.0,8.17857142857146,8.700000000000045,0.0018131916752250699,directional_close
ONGC,LONG,2024-12-31 09:55:00+05:30,2024-12-31 12:30:00+05:30,235.9179,129,30433.4091,370.4253428571426,63.15062523811199,307.2747176190306,121.71667710310594,20.750427607570256,100.96624949553568,1.6590372313566757,1,Take_Profit,155.0,1.4642857142857164,0.5500000000000114,0.0011323443103894604,directional_close
HEROMOTOCO,SHORT,2024-12-31 09:55:00+05:30,2024-12-31 15:15:00+05:30,4163.917,10,41639.170000000006,0.3610000000026048,85.82465930782001,-85.46365930781741,0.08669721322557697,20.61152018827945,-20.52482297505387,-0.2673801094354608,0,EOD_Squareoff,320.0,18.507142857142753,20.350000000000364,0.0002793850445493319,directional_close
BEL,LONG,2024-12-31 09:55:00+05:30,2024-12-31 14:10:00+05:30,289.44464999999997,96,27786.6864,423.0870857142763,57.75537120844798,365.33171450582836,152.26251868386737,20.785267583560444,131.47725110030694,1.726981166957897,1,Take_Profit,255.0,1.8499999999999903,1.1000000000000227,0.001122917293228491,directional_close
SBILIFE,SHORT,2024-12-31 09:55:00+05:30,2024-12-31 10:20:00+05:30,1386.9062,32,44380.9984,-230.78205714286014,91.68879200830857,-322.4708491511687,-52.0001950075238,20.659470339520023,-72.65966534704381,-1.5467168842188848,0,Stop_Loss,25.0,5.1678571428571685,3.150000000000091,0.0002568574978980428,directional_close
SBIN,LONG,2024-12-31 09:55:00+05:30,2024-12-31 10:05:00+05:30,794.2969499999999,69,54806.48955,-278.5475169642731,112.64723827397889,-391.19475523825196,-50.82382018103057,20.55363136717792,-71.37745154820848,-1.5568706960832017,0,Stop_Loss,10.0,3.510714285714284,1.3500000000000227,0.0005018939193617153,directional_close
ASIANPAINT,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 10:35:00+05:30,2273.912475,18,40930.42455,-198.754762499997,84.54712352474026,-283.30188602473726,-48.55917442468771,20.65630260479188,-69.21547702947959,-1.5897933255765613,0,Stop_Loss,30.0,8.778571428571338,4.449999999999818,0.0001792541857666293,directional_close
BRITANNIA,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 11:55:00+05:30,4757.62,13,61849.06,-241.83421785713108,127.70343625387494,-369.537654111006,-39.10071031914327,20.6475953319056,-59.74830565104887,-1.752989285103365,0,Stop_Loss,110.0,14.146428571428455,7.0,0.0008341102983151713,directional_close
BAJAJFINSV,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 10:40:00+05:30,1561.7687250000001,28,43729.524300000005,-224.29162499998984,90.3400246903305,-314.63164969032033,-51.29066199331828,20.658817157617808,-71.94947915093609,-1.5550750581381039,0,Stop_Loss,35.0,5.160714285714286,3.7999999999999545,0.00045731516228864543,directional_close
CIPLA,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 10:30:00+05:30,1518.2405,53,80466.74650000001,-369.69080535712783,156.29384211043927,-525.9846474675671,-45.94330222573716,19.4234076694575,-65.36670989519467,-1.5973160369324126,0,Stop_Loss,25.0,5.396428571428585,2.7000000000000455,0.0008374979365021994,directional_close
TECHM,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 15:15:00+05:30,1698.8501500000002,17,28880.45255,-150.5056749999951,59.6657860922495,-210.1714610922446,-52.11333677664102,20.65957449556984,-72.77291127221086,-0.8732805934019928,0,EOD_Squareoff,310.0,11.553571428571445,7.399999999999864,0.0004896426378835945,directional_close
HCLTECH,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 10:55:00+05:30,1896.0515,13,24648.6695,-173.44606964285413,50.96452260941182,-224.41059225226596,-70.36731521871967,20.67637874304405,-91.04369396176372,-1.3934978896403796,0,Stop_Loss,50.0,13.742857142857165,4.5,0.000455813267404502,directional_close
INDUSINDBK,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 15:00:00+05:30,951.02425,35,33285.848750000005,-267.1693749999986,68.85341079278751,-336.02278579278607,-80.2651532207057,20.68549049475192,-100.95064371545762,-1.3419373337504814,0,Stop_Loss,295.0,4.478571428571415,4.399999999999977,0.0010448452336050912,directional_close
HDFCLIFE,SHORT,2024-12-31 10:05:00+05:30,2024-12-31 12:00:00+05:30,612.6935000000001,115,70459.75250000002,-309.4447723214108,142.7186439120019,-452.1634162334127,-43.91794767110639,20.25534278054722,-64.1732904516536,-1.6497626657878635,0,Stop_Loss,115.0,1.7428571428571331,1.2000000000000455,4.81578078254161e-05,directional_close
BAJAJ-AUTO,SHORT,2024-12-31 10:10:00+05:30,2024-12-31 10:20:00+05:30,8754.220700000002,5,43771.10350000001,-298.7686383928485,90.49428812319172,-389.26292651604024,-68.25704962929446,20.67443607474774,-88.9314857040422,-1.4065776378810018,0,Stop_Loss,10.0,34.692857142857456,33.29999999999927,0.00022499422128401377,directional_close
ITC,SHORT,2024-12-31 10:10:00+05:30,2024-12-31 10:20:00+05:30,475.66205,88,41858.2604,-177.8757357142831,86.44032085084785,-264.31605656513096,-42.49477498933117,20.65071983995968,-63.14549482929085,-1.684956573140695,0,Stop_Loss,10.0,1.3321428571428637,0.9000000000000341,0.0014233302645943152,directional_close
ICICIBANK,SHORT,2024-12-31 10:10:00+05:30,2024-12-31 10:50:00+05:30,1282.108625,28,35899.0415,-145.77189999999882,74.12786307384201,-219.89976307384083,-40.60607022056531,20.648981136123652,-61.25505135668896,-1.7212143463945186,0,Stop_Loss,40.0,3.1999999999999966,2.25,0.0001929186594155227,directional_close
TATASTEEL,LONG,2024-12-31 10:15:00+05:30,2024-12-31 14:00:00+05:30,137.40867,446,61284.26682,436.5307828571505,126.8145776790224,309.71620517812806,71.23048141202361,20.692844062488927,50.537637349534684,1.4189890717488256,1,Take_Profit,225.0,0.42999999999999666,0.18999999999999773,0.0010191475771068595,directional_close
KOTAKBANK,LONG,2024-12-31 10:15:00+05:30,2024-12-31 12:50:00+05:30,353.1765,79,27900.943499999998,355.22914285713387,57.913475960219984,297.31566689691385,127.31796788776477,20.75681632781343,106.56115155995133,1.6739373605756684,1,Take_Profit,155.0,1.8507142857142793,1.1299999999999955,0.001765832883204498,directional_close
SBIN,LONG,2024-12-31 10:20:00+05:30,2024-12-31 15:15:00+05:30,793.89675,68,53984.979,61.58420000000251,111.34192102247601,-49.757721022473504,11.407654710767325,20.62461134281001,-9.216956632042685,-0.2018389833630038,0,EOD_Squareoff,295.0,2.842857142857156,1.6499999999999773,0.0006990728109710357,directional_close
ITC,LONG,2024-12-31 10:25:00+05:30,2024-12-31 10:45:00+05:30,477.73875,69,32963.97375,-170.2627366071398,67.74982586243063,-238.0125624695704,-51.65115647112776,20.55268772395216,-72.20384419507991,-1.5469657717412724,0,Stop_Loss,20.0,1.2857142857142898,1.3000000000000114,0.00074280414983448,directional_close
GRASIM,SHORT,2024-12-31 10:25:00+05:30,2024-12-31 11:10:00+05:30,2421.5886000000005,25,60539.71500000001,-279.7866964285504,125.0396050063982,-404.8263014349486,-46.21539702136859,20.65414497018993,-66.86954199155852,-1.6232520270971929,0,Stop_Loss,45.0,6.667857142857072,5.099999999999909,0.0009847308329673722,directional_close
HINDALCO,SHORT,2024-12-31 10:25:00+05:30,2024-12-31 10:50:00+05:30,598.7504749999999,78,46702.53704999999,-257.29184464286095,96.49825899231931,-353.79010363518023,-55.09162047607882,20.66231624397787,-75.75393672005669,-1.513063721398472,0,Stop_Loss,25.0,1.8642857142857159,1.650000000000091,0.0019361675627978243,directional_close
ULTRACEMCO,SHORT,2024-12-31 10:30:00+05:30,2024-12-31 10:50:00+05:30,11209.69235,5,56048.461749999995,-304.67395089285674,115.80532416634293,-420.47927505919967,-54.359020993623744,20.66164182754631,-75.02066282117006,-1.520657655715596,0,Stop_Loss,20.0,26.517857142857274,36.100000000000364,0.0016484390171094996,directional_close
APOLLOHOSP,SHORT,2024-12-31 10:30:00+05:30,2024-12-31 10:45:00+05:30,7252.87175,4,29011.487,-191.40000357143072,59.973515560207794,-251.37351913163852,-65.97386875461802,20.672334224098126,-86.64620297871616,-1.4217488220909371,0,Stop_Loss,15.0,22.817857142857,29.100000000000364,0.0004468909168794975,directional_close
SBILIFE,SHORT,2024-12-31 10:30:00+05:30,2024-12-31 12:15:00+05:30,1384.3075000000001,20,27686.15,-221.18955357142568,57.26920761322678,-278.4587611846525,-79.89177027915606,20.685146765883584,-100.57691704503966,-1.3436350232939847,0,Stop_Loss,105.0,4.03928571428576,7.599999999999909,0.00261902882114258,directional_close
WIPRO,SHORT,2024-12-31 10:30:00+05:30,2024-12-31 12:20:00+05:30,297.401225,102,30334.92495,-278.7349446428527,62.78173172528132,-341.51667636813403,-91.88581976130874,20.696188247955863,-112.58200800926458,-1.296394501688602,0,Stop_Loss,110.0,1.317857142857142,1.75,0.005446037084181493,directional_close
CIPLA,LONG,2024-12-31 10:35:00+05:30,2024-12-31 15:15:00+05:30,1526.2627499999999,38,57997.98449999999,109.14740000000847,119.66761707351199,-10.520217073503517,18.819171207580236,20.63306477029594,-1.8138935627157042,-0.032426320485347784,0,EOD_Squareoff,280.0,4.557142857142854,5.5,0.0011840770245782376,directional_close
TATACONSUM,SHORT,2024-12-31 10:35:00+05:30,2024-12-31 11:15:00+05:30,898.4005750000001,48,43123.227600000006,-352.29929999998967,89.20819148961002,-441.5074914895997,-81.69594893680677,20.686807656672247,-102.38275659347903,-1.3355848567200803,0,Stop_Loss,40.0,2.9071428571428766,4.949999999999932,0.002175923771095585,directional_close
ASIANPAINT,LONG,2024-12-31 10:40:00+05:30,2024-12-31 10:45:00+05:30,2285.04195,28,63981.1746,-212.52487499999006,131.6330362166085,-344.15791121659856,-33.216782331468806,20.57371360240837,-53.790495933877175,-1.9053767383657072,0,Stop_Loss,5.0,4.771428571428487,2.800000000000182,6.774791219420366e-05,directional_close
BHARTIARTL,SHORT,2024-12-31 10:50:00+05:30,2024-12-31 10:55:00+05:30,1573.8127,49,77116.8223,-397.04026249999515,151.77635433539524,-548.8166168353904,-51.4855579701441,19.681354833962764,-71.16691280410687,-1.5317121998672816,0,Stop_Loss,5.0,4.753571428571441,4.2000000000000455,0.0025438876644977996,directional_close
BAJAJFINSV,LONG,2024-12-31 10:50:00+05:30,2024-12-31 11:05:00+05:30,1569.48435,43,67487.82704999999,-233.2283142857059,138.33837532352715,-371.56668960923304,-34.558575150584275,20.498270780156517,-55.056845930740785,-1.861703997145685,0,Stop_Loss,15.0,3.0357142857142696,2.25,0.00011162486153867447,directional_close
BAJAJ-AUTO,LONG,2024-12-31 10:55:00+05:30,2024-12-31 12:40:00+05:30,8839.4175,7,61875.9225,-314.0563312499944,127.17797004980287,-441.23430129979727,-50.755822064712554,20.553708924469426,-71.30953098918198,-1.5577007035931645,0,Stop_Loss,105.0,23.52142857142865,24.149999999999636,0.0002909494140960857,directional_close
HINDALCO,LONG,2024-12-31 10:55:00+05:30,2024-12-31 15:15:00+05:30,602.1008999999999,84,50576.47559999999,4.021500000017113,104.25079529016601,-100.2292952901489,0.7951325101856472,20.61250691223847,-19.817374402052824,-0.43630006969250607,0,EOD_Squareoff,260.0,1.4678571428571476,1.6999999999999318,0.0006812222433585696,directional_close
TATAMOTORS,LONG,2024-12-31 10:55:00+05:30,2024-12-31 12:05:00+05:30,448.29403499999995,161,72175.339635,-452.5414737499881,144.50882250807433,-597.0502962580624,-62.70029015984527,20.02191097941126,-82.72220113925654,-1.4329362956345233,0,Stop_Loss,70.0,1.2378571428571377,1.7300000000000182,0.0008286895117203942,directional_close
ASIANPAINT,LONG,2024-12-31 10:55:00+05:30,2024-12-31 15:15:00+05:30,2291.04495,11,25201.49445,-123.03994999999941,51.80397539439099,-174.8439253943904,-48.8224816365997,20.555914053894924,-69.37839569049463,-1.0294897317339105,0,EOD_Squareoff,260.0,5.01785714285711,11.800000000000182,0.0021028950529824258,directional_close
RELIANCE,LONG,2024-12-31 10:55:00+05:30,2024-12-31 15:15:00+05:30,1216.057725,27,32833.558574999995,-39.56377499999098,67.63009194195752,-107.1938669419485,-12.049798047207554,20.597856241343322,-32.647654288550875,-0.569002996740082,0,EOD_Squareoff,260.0,2.6035714285714158,5.100000000000136,0.0005039943086759857,directional_close
TRENT,LONG,2024-12-31 11:10:00+05:30,2024-12-31 11:55:00+05:30,4652.325,16,74437.2,-409.66656857142516,147.6032060224931,-557.2697745939183,-55.03519323287619,19.8292259814304,-74.8644192143066,-1.495487119564722,0,Stop_Loss,45.0,15.730714285714319,12.829999999999927,0.0014518528586790255,directional_close
NTPC,LONG,2024-12-31 11:10:00+05:30,2024-12-31 11:35:00+05:30,330.61522499999995,152,50253.51419999999,-249.89994285713328,103.29550245164799,-353.19544530878125,-49.72785422778121,20.554881404024876,-70.28273563180609,-1.5705558756797724,0,Stop_Loss,25.0,0.8749999999999959,0.8499999999999659,0.00176027680778678,directional_close
BHARTIARTL,LONG,2024-12-31 11:10:00+05:30,2024-12-31 15:15:00+05:30,1580.79,42,66393.18,183.41505000001007,137.056166426529,46.35888357348108,27.625585941208133,20.643109190812822,6.98247675039531,0.13014663907997237,1,EOD_Squareoff,245.0,4.771428571428585,5.25,0.0013956971994223849,directional_close
APOLLOHOSP,LONG,2024-12-31 11:10:00+05:30,2024-12-31 15:15:00+05:30,7305.600974999999,6,43833.60584999999,-86.6902499999942,90.24919786844099,-176.9394478684352,-19.777120389468074,20.58904261202618,-40.36616300149426,-0.8588454097216095,0,EOD_Squareoff,245.0,19.249999999999936,20.699999999999818,0.0010816887739330122,directional_close
M&M,LONG,2024-12-31 11:10:00+05:30,2024-12-31 12:55:00+05:30,3011.5049999999997,21,63241.604999999996,-344.05700624998735,129.95864202161138,-474.0156482715987,-54.40358546402916,20.549548358491435,-74.95313382252058,-1.5164012197081254,0,Stop_Loss,105.0,8.346428571428532,9.0,0.0006933028602936974,directional_close
ICICIBANK,LONG,2024-12-31 11:10:00+05:30,2024-12-31 11:20:00+05:30,1286.9431499999998,39,50190.782849999996,-149.21793482141743,103.28103898700738,-252.4989738084248,-29.730146921073068,20.577690389024763,-50.307837310097824,-2.0332545355238283,0,Stop_Loss,10.0,1.910714285714302,1.5499999999999545,0.00022462413262893703,directional_close
ITC,LONG,2024-12-31 11:10:00+05:30,2024-12-31 13:45:00+05:30,477.688725,79,37737.409275,305.18997857142335,78.13093208701798,227.05904648440537,80.87200060487548,20.703840986449908,60.16815961842558,1.4879849433277963,1,Take_Profit,155.0,1.096428571428577,1.1499999999999773,0.0011768437575211716,directional_close
LT,LONG,2024-12-31 11:10:00+05:30,2024-12-31 15:15:00+05:30,3595.797,12,43149.564,124.1882999999998,89.07980202545399,35.10849797454581,28.78089335966403,20.644426911348162,8.136466448315865,0.14193460565465338,1,EOD_Squareoff,245.0,9.767857142857142,14.0,0.0007756721724877793,directional_close
BAJAJFINSV,LONG,2024-12-31 11:20:00+05:30,2024-12-31 15:15:00+05:30,1569.034125,26,40794.88725,-58.9653999999955,84.017535048278,-142.9829350482735,-14.454115202878885,20.5951139252819,-35.04922912816078,-0.7292333013332762,0,EOD_Squareoff,235.0,3.003571428571474,5.25,0.002270376662839597,directional_close
GRASIM,LONG,2024-12-31 11:25:00+05:30,2024-12-31 11:40:00+05:30,2429.6142,28,68029.1976,-280.3389749999933,139.03387999346052,-419.3728549934538,-41.20862583861982,20.43738349097631,-61.646009329596126,-1.7016714911951045,0,Stop_Loss,15.0,6.403571428571403,4.25,0.0002526278562588882,directional_close
DRREDDY,LONG,2024-12-31 11:30:00+05:30,2024-12-31 15:15:00+05:30,1391.5454249999998,23,32005.544774999995,-97.50677499999438,65.85733439100949,-163.36410939100386,-30.465588286489147,20.576851559312193,-51.04243984580134,-0.8360720464045516,0,EOD_Squareoff,225.0,4.092857142857156,5.75,7.056477821204679e-05,directional_close
ULTRACEMCO,LONG,2024-12-31 11:35:00+05:30,2024-12-31 13:55:00+05:30,11304.6495,8,90437.196,575.1062857142824,170.02836324157715,405.07792247270527,63.59178647182764,18.800711517148006,44.79107495467963,1.4087062949402411,1,Take_Profit,140.0,22.35357142857135,18.149999999999636,7.790077317528246e-05,directional_close
INFY,LONG,2024-12-31 11:40:00+05:30,2024-12-31 13:15:00+05:30,1875.687375,32,60021.996,-210.37391428570845,123.47498899620399,-333.84890328191244,-35.04946991194836,20.571623275607827,-55.621093187556184,-1.8500586800320065,0,Stop_Loss,95.0,4.117857142857149,2.5499999999999545,0.0004397456302994376,directional_close
TCS,LONG,2024-12-31 11:40:00+05:30,2024-12-31 12:55:00+05:30,4074.5362499999997,9,36670.82625,-136.21340892856506,75.42907794349424,-211.6424868720593,-37.14489769058996,20.56923327259206,-57.71413096318202,-1.794539041715036,0,Stop_Loss,75.0,8.875,6.5,0.0010046701247371991,directional_close
HCLTECH,LONG,2024-12-31 11:40:00+05:30,2024-12-31 14:05:00+05:30,1910.3547,22,42027.803400000004,322.9782285714318,86.99440976388803,235.9838188075438,76.84870548610013,20.699252096503344,56.14945338959679,1.4612986135401518,1,Take_Profit,145.0,4.44285714285713,4.0,0.0010860599175539745,directional_close
NTPC,SHORT,2024-12-31 11:50:00+05:30,2024-12-31 12:20:00+05:30,329.585125,216,71190.387,-256.84733571427614,143.677508636389,-400.52484435066515,-36.07893516778833,20.182150244019464,-56.26108541180779,-1.8111693869374252,0,Stop_Loss,30.0,0.7642857142857095,0.5,0.0011442226617074296,directional_close
TATACONSUM,SHORT,2024-12-31 11:55:00+05:30,2024-12-31 12:20:00+05:30,898.5505,62,55710.131,-350.3852499999948,115.15005126540498,-465.53530126539977,-62.89435040100602,20.669499281092154,-83.56384968209818,-1.4441069124680253,0,Stop_Loss,25.0,2.442857142857138,3.5,0.00022685214381206744,directional_close
ICICIBANK,SHORT,2024-12-31 11:55:00+05:30,2024-12-31 12:20:00+05:30,1281.8087750000002,41,52554.15977500001,-149.49138124999286,108.46015073759014,-257.951531987583,-28.445204316843792,20.637786086190005,-49.08299040303379,-2.094566173729407,0,Stop_Loss,25.0,1.4499999999999968,1.5499999999999545,0.00028156970337814296,directional_close
BRITANNIA,LONG,2024-12-31 12:00:00+05:30,2024-12-31 15:15:00+05:30,4776.236925,6,28657.42155,-149.1828000000005,58.897376083973995,-208.0801760839745,-52.057300319121175,20.552224484402014,-72.60952480352319,-1.1144302106519817,0,EOD_Squareoff,195.0,9.028571428571272,23.850000000000364,0.001758177178239423,directional_close
TRENT,LONG,2024-12-31 12:00:00+05:30,2024-12-31 13:50:00+05:30,4648.693185,13,60433.011405,699.872809999988,125.3603667171596,574.5124432828284,115.80968641620318,20.743690212132595,95.06599620407059,1.6417624318991282,1,Take_Profit,110.0,11.387857142857229,18.56999999999971,0.003258541135045969,directional_close
GRASIM,SHORT,2024-12-31 12:05:00+05:30,2024-12-31 12:30:00+05:30,2417.540625,31,74943.75937500001,-281.12355535713505,148.77017641986924,-429.8937317770043,-37.5112694774841,19.85090922320298,-57.362178700687075,-1.7652604992795387,0,Stop_Loss,25.0,4.971428571428565,4.050000000000182,0.0006182698135211582,directional_close
HDFCLIFE,LONG,2024-12-31 12:10:00+05:30,2024-12-31 15:15:00+05:30,616.758225,69,42556.317525000006,-21.845399999999586,87.690463003497,-109.53586300349659,-5.133291898944582,20.6057450699259,-25.739036968870483,-0.40397359374248115,0,EOD_Squareoff,185.0,1.2892857142857272,3.0,0.0008930305654126209,directional_close
NESTLEIND,LONG,2024-12-31 12:20:00+05:30,2024-12-31 12:25:00+05:30,1083.04125,63,68231.59875,-237.96507375000328,139.3410915968397,-377.306165346843,-34.87608060041291,20.421783183973787,-55.29786378438669,-1.8499821175248368,0,Stop_Loss,5.0,1.26428571428575,2.0499999999999545,0.0006976609450189802,directional_close
ICICIBANK,LONG,2024-12-31 12:25:00+05:30,2024-12-31 12:50:00+05:30,1286.6930249999998,31,39887.48377499999,-138.4093258928449,82.05661914875213,-220.46594504159702,-34.6999391271692,20.572021943430336,-55.27196107059954,-1.8600820982668445,0,Stop_Loss,25.0,1.2571428571428183,2.5,0.0002649403543236564,directional_close
COALINDIA,LONG,2024-12-31 12:30:00+05:30,2024-12-31 15:15:00+05:30,381.09045,113,43063.22085,346.61337500000946,89.1555285704435,257.45784642956596,80.48942186822273,20.70340462479445,59.78601724342827,0.7292291793112742,1,EOD_Squareoff,165.0,1.0714285714285674,2.4499999999999886,0.000437571155978894,directional_close
