symbol,direction,entry_time,exit_time,entry_price,shares,entry_value,gross_pnl,cost,net_pnl,gross_bps,cost_bps,net_bps,r_multiple,win,exit_reasons,duration_mins,atr_at_entry,candle_size,pullback_depth_pct,pullback_type
INFY,SHORT,2024-12-18 10:50:00+05:30,2024-12-18 11:35:00+05:30,1972.0135,7,13804.0945,-48.828499999998485,28.497397960149996,-77.32589796014848,-35.372475898363696,20.644163193862514,-56.016639092226214,-1.8452446089450971,0,Stop_Loss,45.0,4.610714285714282,5.0,0.00033208281303866985,zone
BHARTIARTL,SHORT,2024-12-18 10:55:00+05:30,2024-12-18 12:35:00+05:30,1611.3439250000001,15,24170.158875,184.77337499999635,49.6484659932375,135.12490900675886,76.44690130320724,20.541224511598294,55.90567679160895,2.1939022709320786,1,Take_Profit,100.0,2.7392857142857077,3.2999999999999545,0.0010530501342618313,zone
ASIANPAINT,LONG,2024-12-18 10:55:00+05:30,2024-12-18 11:05:00+05:30,2366.28255,10,23662.8255,-53.635999999996784,48.711693258699995,-102.34769325869678,-22.66677747338195,20.585746726949406,-43.25252420033135,-2.4470166108880225,0,Stop_Loss,10.0,4.396428571428585,3.0,0.00062400221085429,zone
BPCL,SHORT,2024-12-18 10:55:00+05:30,2024-12-18 11:25:00+05:30,291.104375,75,21832.828125,-63.11437499999926,45.059053849462494,-108.17342884946174,-28.908016239879256,20.638212141590103,-49.54622838146936,-2.0734050453325796,0,Stop_Loss,30.0,0.7035714285714302,0.5500000000000114,0.0003043404473244648,zone
APOLLOHOSP,SHORT,2024-12-18 10:55:00+05:30,2024-12-18 13:05:00+05:30,7205.745325000001,1,7205.745325000001,-30.22084999999879,14.88001474417,-45.10086474416879,-41.9399363104729,20.650209066568692,-62.590145377041594,-1.695223292303683,0,Stop_Loss,130.0,17.55714285714287,23.0,0.0023122667870466287,zone
ITC,LONG,2024-12-18 10:55:00+05:30,2024-12-18 11:00:00+05:30,470.8353,24,11300.0472,-32.88360000000057,23.253698910264,-56.13729891026457,-29.1004094212992,20.578408655022255,-49.678818076321456,-2.060296063825388,0,Stop_Loss,5.0,0.9892857142857159,0.9000000000000341,0.0010837105107028336,zone
HEROMOTOCO,LONG,2024-12-18 11:00:00+05:30,2024-12-18 11:05:00+05:30,4410.454125,9,39694.087125000005,-109.38937500000065,81.6910972852275,-191.08047228522815,-27.558103214598273,20.580167778635488,-48.13827099323377,-2.1329010422560635,0,Stop_Loss,5.0,12.728571428571415,7.75,0.00042308637815575474,zone
TATASTEEL,SHORT,2024-12-18 11:00:00+05:30,2024-12-18 12:05:00+05:30,145.337295,177,25724.701215,150.11635499999622,52.88453104222351,97.23182395777272,58.35494598960154,20.557879603820894,37.797066385780646,1.9431291938398418,1,Take_Profit,65.0,0.3507142857142875,0.21000000000000796,0.0002468916644843452,zone
GRASIM,SHORT,2024-12-18 11:00:00+05:30,2024-12-18 15:15:00+05:30,2596.701,6,15580.206,8.423999999999978,32.10554243304,-23.681542433040022,5.406860474116952,20.606622552384735,-15.199762078267785,-0.41550939455101465,0,EOD_Squareoff,255.0,5.742857142857084,8.149999999999636,0.0003253752616876586,zone
BAJAJ-AUTO,LONG,2024-12-18 11:05:00+05:30,2024-12-18 11:10:00+05:30,8969.282399999998,3,26907.847199999997,-58.82842499999242,55.39427980976549,-114.22270480975791,-21.862925176709208,20.586663584801947,-42.44958876151115,-2.516073784501434,0,Stop_Loss,5.0,20.61428571428574,10.649999999999636,0.001028075291565022,zone
ITC,SHORT,2024-12-18 11:10:00+05:30,2024-12-18 11:20:00+05:30,468.9654,26,12193.1004,-33.00959999999918,25.162318798031997,-58.17191879803118,-27.07235970926573,20.636522272901157,-47.708881982166886,-2.1625570193620174,0,Stop_Loss,10.0,0.9000000000000016,0.8000000000000114,0.0003013403141228029,zone
