feature,decile,bps,t,hit_pct,name_days
dist_ma20,5,9.873053697896193,4.491143334570673,51.15761052986838,14019
dist_ma20,6,8.957083733993882,3.902581069445081,51.638542018224776,12782
dist_ma20,7,9.24466000975941,4.03558205355196,51.03948700641242,13126
dist_ma20,8,7.290418095004485,3.201982177118707,50.374620317246034,13741
dist_ma20,9,2.847759544655007,1.2241654030541713,49.21194735065812,13428
dist_ma20,10,5.5249198598315035,2.163123840396966,48.43064461694229,14807
dist_ma50,1,11.358926214704237,3.639976618940329,52.531218359770506,11852
dist_ma50,2,11.124677629928357,4.442943142892014,52.3202834964563,13665
dist_ma50,3,11.2737523990814,4.661641191732101,52.06884913938576,13504
dist_ma50,4,8.517976591857952,3.675880803660259,51.03273709078636,13363
dist_ma50,5,8.040234573246874,3.6311576719469603,50.882551468106655,14019
dist_ma50,6,6.937663587692026,3.0606950871622725,50.53493081336483,12782
dist_ma50,7,8.781877477453426,3.8072721889051864,51.01586230172123,13126
dist_ma50,8,7.581717478508449,3.2434370055425648,50.73574080323997,13741
dist_ma50,9,5.5992800318601645,2.4361797380992067,50.0742490718866,13428
dist_ma50,10,6.6670323900970345,2.6503988438260913,49.260884238947014,14807
dist_ma200,1,12.851608439144407,4.182768212414996,52.210597367532905,11852
dist_ma200,2,8.962849582011032,3.603817234103275,51.20992237597031,13665
dist_ma200,3,7.784831808914578,3.3293514841126024,51.149173135335815,13504
dist_ma200,4,7.180649163975257,3.1769542652181215,50.76611542355721,13363
dist_ma200,5,9.563479844266276,4.186828299483442,50.793115086061434,14019
dist_ma200,6,6.972400858763754,3.057273321384082,50.73405332433345,12782
dist_ma200,7,8.849485993699654,3.902953697795116,51.31454606817415,13126
dist_ma200,8,5.549110130681996,2.435846387886843,50.39318258521769,13741
dist_ma200,9,9.489375382114257,3.9298060672448982,51.162672966587905,13428
dist_ma200,10,8.69307602818594,3.380690987934233,50.5686803914951,14807
rsi14,1,12.242371754290996,4.465708769996281,53.06277421532231,11852
rsi14,2,10.796247502962604,4.351640818531511,52.36078299021263,13665
rsi14,3,10.452413512961188,4.374770975858055,51.80391495106311,13504
rsi14,4,12.363873029424134,5.085157587462156,51.797165035437054,13363
rsi14,5,8.327278860328718,3.5327385799808937,51.152548093148845,14019
rsi14,6,8.670646898404794,3.592224848305899,51.29767127910901,12782
rsi14,7,6.523534438429844,2.7567105103674345,49.640566992912596,13126
rsi14,8,6.823574049543737,2.979095454864755,50.92473844076949,13741
rsi14,9,6.352036083248852,2.687039408305353,49.75700303746203,13428
rsi14,10,4.263400187920295,1.8311610668288056,48.76139048261897,14807
updays5,1,13.413620736675004,4.282392646985899,53.57049189102393,9212
updays5,2,12.82601542606598,4.199450252286266,52.544969300775065,13008
updays5,3,11.72297000635564,3.5613850053740865,51.50673225229625,14300
updays5,4,12.026962636686081,2.9268710440961447,52.17193813626966,13882
updays5,5,9.86783331344658,2.7529497811584607,51.42957271480639,15931
updays5,6,7.6093565219396,1.9804266443113125,51.540235623398125,14145
updays5,7,8.953061232934157,2.6708030789836186,49.93584164984981,14729
updays5,8,0.5801841888840257,0.16211820944421015,49.72104189632625,13530
updays5,9,6.4416389918877535,2.081836801537529,49.93648980814443,13789
updays5,10,5.617464263604359,2.08910691360369,49.20865764816514,11761
high_prox,1,14.120588443704662,4.472575327274641,52.54809314883564,11852
high_prox,2,9.496824849501785,3.6219173194090057,52.2089098886264,13665
high_prox,3,9.125393345970899,3.6615195578612645,52.030037124535944,13504
high_prox,4,11.270774742218233,4.6962727006105975,51.884913938575764,13363
high_prox,5,8.093028277080013,3.5048270539898856,51.39892001349984,14019
high_prox,6,6.546683717999017,2.836206024863199,50.65811677354033,12782
high_prox,7,8.425513035437756,3.7201896501026903,50.43874451569356,13126
high_prox,8,8.064463264724376,3.7020652876575424,50.617617279784014,13741
high_prox,9,6.948942768693714,3.1726320641241452,49.92237597030037,13428
high_prox,10,4.840069343956716,2.232270177177699,48.722578467769154,14807
