feature,decile,bps,t,hit_pct,name_days
high_prox,3,9.668083059041848,4.060106569692981,51.042229636102576,42614
high_prox,4,9.39299186710964,4.1284210018923115,50.991960394390425,42887
high_prox,5,8.933005266295657,4.085666293559227,50.86366300018239,43218
high_prox,6,9.003623143438698,4.2414891159940815,50.467729210462075,42282
high_prox,7,7.137512522284881,3.478375253887857,50.15291274852437,42661
high_prox,8,8.634774963570392,4.336159056615129,50.09865685893898,42840
high_prox,9,8.393551235436325,4.223224946249235,50.23690912925424,42597
high_prox,10,5.090704407686216,2.6006212421369006,48.45867980961639,44098
low_prox,1,9.492198562167857,4.566435458202012,51.991457217939875,41434
low_prox,2,9.871769750559292,4.6195348869244635,51.504052390296195,42824
low_prox,3,10.089957754933632,4.7768723486334155,51.130801542917325,42614
low_prox,4,10.517088048014054,4.832163690254059,51.067159800104776,42887
low_prox,5,10.400953874480951,4.7377599645852175,50.89596783070812,43218
low_prox,6,10.481742211874508,4.833006323339582,50.517826338612416,42282
low_prox,7,8.456110864875745,3.8275782729999874,50.33026975597706,42661
low_prox,8,7.07036185260098,3.0929526844688304,49.72699136312494,42840
low_prox,9,8.211565846791107,3.52401793107576,49.48134957386312,42598
low_prox,10,6.146093008589994,2.303410653425444,48.69821427125572,44097
clv,1,9.17714112656208,4.168658373340262,51.776714764134944,41403
clv,2,10.4418316551135,4.724982129299966,51.739173862808606,42821
clv,3,9.935941754095506,4.435608579051993,51.36146019305215,42598
clv,4,12.478403884465367,5.503384884132228,51.56278807718676,42876
clv,5,11.39137927857805,5.132920468265994,51.194367792556605,43208
clv,6,10.606708879099084,4.736164140518031,50.540603193316116,42267
clv,7,9.713988314821297,4.387771952807963,50.52952788978452,42650
clv,8,9.183567114828843,4.102488328924418,49.724047144734335,42827
clv,9,5.118427848669509,2.347573503195617,48.94670888204265,42595
clv,10,3.0961385589568624,1.451062712570125,47.98499142995611,44067
vol_ratio,1,9.716717825943114,4.892926615179644,50.369339302110774,41434
vol_ratio,2,9.090340342166314,4.2874750131989705,50.38516296321539,42824
vol_ratio,3,8.315059210941751,3.837914393399136,50.55910400319752,42614
vol_ratio,4,8.683918461948428,3.866953049398895,50.70130601370902,42887
vol_ratio,5,9.986013892031387,4.427855631700381,50.88302448283625,43218
vol_ratio,6,8.78657957384428,3.9694016965818038,50.58752104337937,42282
vol_ratio,7,8.745379383070418,3.908371594298546,50.75293105873698,42661
vol_ratio,8,9.098939232824083,3.992594774553511,50.82752450170941,42840
vol_ratio,9,7.630464728671478,3.3635531577753346,50.26142208294716,42598
vol_ratio,10,10.613614666826328,4.548242714764717,49.91777665797622,44097
turnover,1,11.78353590402903,6.30305191268296,49.6364897654095,41434
turnover,2,13.336468543104044,6.606901838095691,50.589416794863176,42824
turnover,3,11.032311573141708,5.18174424414104,50.703332050121766,42614
turnover,4,10.114048794921915,4.618501061710013,50.62852842957361,42887
turnover,5,8.19146563913377,3.603920144428393,50.07097425189524,43218
turnover,6,8.993938709223729,3.8517653928578355,51.006580847481096,42282
turnover,7,7.030756195478602,3.0322704966655873,50.737635945965145,42661
turnover,8,7.442765636364557,3.195448191765575,50.76759542392571,42840
turnover,9,7.049738009809482,3.0305322680715925,50.78082761188981,42598
turnover,10,5.971571525800506,2.481964436834428,50.31613984621093,44097
atr_pct,1,6.744612534299498,4.534302762146888,50.68847344816365,41434
atr_pct,2,7.289106969348677,4.349101870493747,51.12876811586465,42824
atr_pct,3,6.468009586207365,3.583386558163773,50.389735530753654,42614
atr_pct,4,8.470714417913475,4.31748914990147,50.69128409441576,42887
atr_pct,5,7.901166559733537,3.7969258653680953,50.56694966839981,43218
atr_pct,6,9.61375167593053,4.355891916878892,50.418221516220406,42282
atr_pct,7,9.713748325491549,4.075211663697808,50.69799462209751,42661
atr_pct,8,10.11134658603131,3.9561214612789817,50.34327939692373,42840
atr_pct,9,10.15762870028033,3.6783091069895164,50.07014126335994,42598
atr_pct,10,14.07346443895108,4.309649994039196,50.26885871889497,44097
tr_ratio,1,8.616714512620877,4.1309496892062105,50.13445035074674,41434
tr_ratio,2,8.194169524532455,3.769572509291407,50.57179491920816,42824
tr_ratio,3,9.269311181714052,4.279076480822495,50.72864242165135,42614
tr_ratio,4,9.872548790924691,4.47751002151921,50.80898905550647,42887
tr_ratio,5,10.791345415938244,4.850642830872455,50.91402841372409,43218
tr_ratio,6,10.222408222011232,4.672795222835562,50.996796243147266,42282
tr_ratio,7,9.450575615179757,4.269800245792099,50.5780682153953,42661
tr_ratio,8,8.904469545825199,3.9797371248662854,50.201019024886726,42840
tr_ratio,9,8.848232757492736,3.829246047539974,50.74688027926707,42598
tr_ratio,10,6.5625911372800445,2.7217663716340015,49.587760495271496,44097
gap_today,1,5.20529003225567,2.2898875888292785,50.02258573842029,41372
gap_today,2,6.898055558775541,3.1724667279488585,50.328818713858624,42705
gap_today,3,9.303812628094404,4.369847458157286,51.03454093379859,42860
gap_today,4,8.033509068481555,3.83488498329484,50.39891796842415,42889
gap_today,5,8.417709004415817,3.8809981462357257,50.67336125112729,43239
gap_today,6,9.266718684878322,4.243891475154583,50.68201046597204,42171
gap_today,7,9.817070663064142,4.463728908773797,50.430024704755496,42699
gap_today,8,10.308873265454782,4.496366560452427,50.8577586600544,42855
gap_today,9,11.267729979318853,4.906345261335926,50.62506951540716,42579
gap_today,10,11.94044520627169,4.966021677586675,50.21311519438672,44086
